SubGrup,NaCl
1,6.94
1,6.98
1,7.03
2,6.89
2,6.89
2,6.92
3,7.4
3,6.95
3,6.95
4,6.95
4,6.95
4,7.18
5,6.96
5,6.95
5,7
6,6.82
6,7.06
6,7.31
7,7.06
7,7.06
7,7.06
8,7.06
8,7.18
8,7
9,6.82
9,7.05
9,7.06
10,7.05
10,6.82
10,6.82
11,7.23
11,6.76
11,7.34
12,7.34
12,6.87
12,6.99
13,6.7
13,6.93
13,7.15
14,7.06
14,6.93
14,6.69
15,6.93
15,7.1
15,7.1
16,7.47
16,7.47
16,7
17,6.89
17,5.25
17,7.1
18,6.62
18,6.4
18,6.85
19,6.4
19,6.85
19,6.85
20,6.43
20,6.47
20,6.7
21,7.01
21,6.87
21,6.85
22,6.8
22,6.87
22,6.37
23,6.2
23,7.04
23,6.81
24,6.58
24,6.47
24,6.58
25,7.26
25,7
25,6.36
26,6.84
26,6.84
26,6.85
27,6.85
27,6.84
27,6.95
28,6.82
28,6.97
28,6.74
29,6.87
29,6.86
29,6.87
30,6.97
30,6.97
30,6.97
31,7.14
31,6.58
31,6.81
32,6.81
32,6.92
32,6.58
33,6.58
33,6.81
33,6.81
34,6.8
34,6.85
34,6.62
35,6.62
35,6.96
35,6.73
36,6.84
36,6.38
36,7.07
37,6.85
37,6.96
37,7.07
38,6.62
38,7.31
38,7.05
39,6.65
39,7.04
39,6.81
40,7.04
40,7.04
40,6.81
41,6.87
41,6.64
41,6.64
42,6.75
42,6.41
42,6.87
43,6.81
43,6.92
43,6.92
44,7.16
44,6.81
44,6.92
45,7.04
45,6.69
45,6.46
46,6.76
46,6.76
46,6.31
47,6.76
47,6.99
47,6.76
48,6.8
48,7.11
48,6.88
49,6.77
49,7.11
49,6.42
50,6.88
50,7.57
50,6.65
51,6.54
51,6.76
51,6.1
