SubGrup,Viscositas
1,13.5
1,12
1,11.75
2,13
2,12.75
2,12
3,13.25
3,11.5
3,12.5
4,15
4,14
4,12.75
5,10.75
5,12
5,12.25
6,12
6,14
6,14.75
7,13.25
7,11.75
7,14.75
8,13.25
8,14
8,14
9,13.75
9,14.75
9,14.5
10,11.25
10,12.25
10,12.25
11,13
11,12.25
11,13.25
12,12.25
12,13.25
12,13.25
13,12.25
13,13
13,13.25
14,12.5
14,14.25
14,15.5
15,13
15,15.25
15,13.5
16,12.75
16,15.5
16,15.75
17,12.5
17,12.25
17,15
18,14.75
18,14
18,13.75
19,14
19,12.75
19,14.25
20,14.75
20,13
20,13.75
21,15
21,13.75
21,14.25
22,14
22,14
22,15.25
23,13.25
23,15.25
23,13.75
24,13.25
24,14.25
24,13.75
25,12.75
25,12.75
25,13.25
26,17.25
26,14.25
26,14
27,12.75
27,13.25
27,14.75
28,13
28,12.75
28,13
29,13
29,12.25
29,12.5
30,12.25
30,12.5
30,12.5
31,13.75
31,12.5
31,13.75
32,11.75
32,12.75
32,12.75
33,12.5
33,12.25
33,12.5
34,13.25
34,12.25
34,13.25
35,11.75
35,12
35,11
36,12.25
36,12.75
36,13.5
37,12.5
37,11.5
37,11.75
38,13.75
38,13.75
38,12.5
39,12.5
39,12.75
39,13.5
40,15
40,14.75
40,14.25
41,12.75
41,15.5
41,14
42,13.75
42,12.75
42,12.5
43,14.75
43,13.25
43,14
44,13.75
44,13.25
44,14.25
45,13.5
45,13.5
45,13.75
46,14.75
46,14.5
46,13.25
47,12
47,13.25
47,13.25
48,13
48,13.5
48,13.5
49,11.75
49,14.25
49,14.25
50,13.5
50,15
50,14
51,14
51,12.5
51,13.5
